Type,Power Type,Category,Series,"FAMILY 
For Archive & one pager",Subheading,Position,Model Name,Description,Dimming,output power (Sorting),output Power(W),Output Current (Sorting),Output Current (A),Output Current,Output Voltage (Sorting),Output Voltage,safety,water proof level,Datasheet,Terminal,BOM Cost$,MOQ 10K Pcs,"EXWorks$ 
MOQ 10k",MOQ 5k Pcs,EXWorks$ MOQ 5k,MOQ 2k Pcs,EXWorks$ MOQ 2k,MOQ 1k Pcs,EXWorks$ MOQ 1k,MOQ 500 Pcs,EXWorks$ MOQ 500,Sample Price 1-10 pcs,EXWorks Price for Order 100-299pcs,EXWorks Price for Order 300-499pcs,Sample Price 1-10 pcs,DAP Price for Order 100-299pcs,DAP Price for Order 300-499pcs,case material,dimension(mm),Status,Responsible,Product Line,Programmable Responsible,Carton Size(mm),Net Weight(kg),Gross Weight(kg),Units/ Carton,"Pallet Size
(mm)",Pallet Weight(kg),Cartons/Pallet,Total Weight/ pallet
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75W Super Slim Series",75 Watts Super Slim Constant Current Series,0-10V Dimming<br>Indoor Applications<br>27-54Vout<br>108-305Vac<br>UL class 2,1,PLD075-1TCF3A-2000,"Indoor CC smart driver，Programable, connector",0-10V,75,75,0.7,0.7-2,700-2000mA,27,27-54V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/03-Super-Slim.pdf,Connector,5.29,10000,  10.67 ,5000,  10.78 ,2000,  11.00 ,1000,  11.55 ,500,  12.10 ,  33.00 ,  15.73 ,  14.52 ,  29.04 ,  18.88 ,  17.42 ,Metal,428*31*26,1452PCS stocks,juanzhang@fsp-powerland.com,ALP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",75 Watts Constant Current Series,0-10V Dimming<br>Indoor Applications<br>20-40Vout<br>90-305Vac<br>UL class 2,1,PLD075-1TAF2A-40,Indoor Constant Current,0-10V,75,75,1.8,1.8,1.8A,20,20-40V,UL class 2,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,5.29,10000,  8.58 ,5000,  8.67 ,2000,  8.85 ,1000,  9.29 ,500,  9.74 ,  26.55 ,  12.66 ,  11.68 ,  23.36 ,  15.19 ,  14.02 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",80 Watts Constant Current Series,"0-10V Dimming<br>Indoor Applications<br>12-114Vout<br>90-305Vac<br>UL, UL class 2",1,PLD080-1TAF2A-24,Indoor Constant Current,0-10V,80,80,3.33,3.33,3.33A,12,12-24V,UL class 2,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,6.18,10000,  9.07 ,5000,  9.16 ,2000,  9.35 ,1000,  9.82 ,500,  10.29 ,  28.05 ,  13.37 ,  12.34 ,  24.68 ,  16.04 ,  14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",80 Watts Constant Current Series,"0-10V Dimming<br>Indoor Applications<br>12-114Vout<br>90-305Vac<br>UL, UL class 2",1,PLD080-1TAF2A-40,Indoor Constant Current,0-10V,80,80,2,2,2.0A,20,20-40V,UL class 2,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,6.18,10000,  9.07 ,5000,  9.16 ,2000,  9.35 ,1000,  9.82 ,500,  10.29 ,  28.05 ,  13.37 ,  12.34 ,  24.68 ,  16.04 ,  14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",80 Watts Constant Current Series,"0-10V Dimming<br>Indoor Applications<br>12-114Vout<br>90-305Vac<br>UL, UL class 2",1,PLD080-1TAF2A-57,Indoor Constant Current,0-10V,80,80,1.4,1.4,1.4A,28,28-57V,UL,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,6.18,10000,  9.07 ,5000,  9.16 ,2000,  9.35 ,1000,  9.82 ,500,  10.29 ,  28.05 ,  13.37 ,  12.34 ,  24.68 ,  16.04 ,  14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",80 Watts Constant Current Series,"0-10V Dimming<br>Indoor Applications<br>12-114Vout<br>90-305Vac<br>UL, UL class 2",1,PLD080-1TAF2A-76,Indoor Constant Current,0-10V,80,80,1.05,1.05,1.05A,38,38-76V,UL ,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,6.18,10000,  9.07 ,5000,  9.16 ,2000,  9.35 ,1000,  9.82 ,500,  10.29 ,  28.05 ,  13.37 ,  12.34 ,  24.68 ,  16.04 ,  14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",80 Watts Constant Current Series,"0-10V Dimming<br>Indoor Applications<br>12-114Vout<br>90-305Vac<br>UL, UL class 2",1,PLD080-1TAF2A-114,Indoor Constant Current,0-10V,80,80,0.7,0.7,0.7A,57,57-114V,UL ,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,6.18,10000,  9.07 ,5000,  9.16 ,2000,  9.35 ,1000,  9.82 ,500,  10.29 ,  28.05 ,  13.37 ,  12.34 ,  24.68 ,  16.04 ,  14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",96 Watts Constant Current Series,0-10V Dimming<br>Indoor Applications<br>12-40Vout<br>90-305Vac<br>UL class 2,1,PLD096-1TAF2A-24,Indoor Constant Current,0-10V,96,96,4,4,4A,12,12-24V,UL class 2,IP54,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,7.35,10000,  10.04 ,5000,  10.14 ,2000,  10.35 ,1000,  10.87 ,500,  11.39 ,  31.05 ,  14.80 ,  13.66 ,  27.32 ,  17.76 ,  16.39 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",96 Watts Constant Current Series,0-10V Dimming<br>Indoor Applications<br>12-40Vout<br>90-305Vac<br>UL class 2,1,PLD096-1TAF2A-40,Indoor Constant Current,0-10V,96,96,2.4,2.4,2.4A,20,20-40V,UL class 2,IP64,https://greenwattpower.com/wp-content/uploads/2020/01/04-10V-Dimming-75-96.pdf,wire,7.35,10000,  10.04 ,5000,  10.14 ,2000,  10.35 ,1000,  10.87 ,500,  11.39 ,  31.05 ,  14.80 ,  13.66 ,  27.32 ,  17.76 ,  16.39 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",30 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD030-1SCF691WA/C-700,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",30,up to 30,0.25,"0.25/
0.275/
0.3/
0.325",350-700mA,20,20-50V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,wire,3.53,10000,  6.69 ,5000,  6.76 ,2000,  6.90 ,1000,  7.25 ,500,  7.59 ,  20.70 ,  9.87 ,  9.11 ,  18.22 ,  11.84 ,  10.93 ,Plastic,108*45*29.5,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",30 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD030-1SCF691WB/D-700,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",30,up to 30,0.35,0.350-0.7,350-700mA,20,20-50V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,wire,3.53,10000,  7.57 ,5000,  7.64 ,2000,  7.80 ,1000,  8.19 ,500,  8.58 ,  23.40 ,  11.15 ,  10.30 ,  20.59 ,  13.38 ,  12.36 ,Steel,136*46*31,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",30 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD030-1SCF691WE-700,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",30,up to 30,0.35,0.350-0.7,350-700mA,20,20-50V,UL,IP65,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,cable,3.53,10000,  8.92 ,5000,  9.02 ,2000,  9.20 ,1000,  9.66 ,500,  10.12 ,  27.60 ,  13.16 ,  12.14 ,  24.29 ,  15.79 ,  14.57 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",42 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD042-1SCF691WA/C-1200,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",42,up to 42,0.6,0.6-1.2,600-1200mA,20,20-50V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,wire,3.97,10000,  6.79 ,5000,  6.86 ,2000,  7.00 ,1000,  7.35 ,500,  7.70 ,  21.00 ,  10.01 ,  9.24 ,  18.48 ,  12.01 ,  11.09 ,Plastic,108*45*29.5,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",42 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD042-1SCF691WB/D-1200,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",42,up to 42,0.6,0.6-1.2,600-1200mA,20,20-50V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,wire,3.971,10000,  7.76 ,5000,  7.84 ,2000,  8.00 ,1000,  8.40 ,500,  8.80 ,  24.00 ,  11.44 ,  10.56 ,  21.12 ,  13.73 ,  12.67 ,Steel,136*46*31,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",42 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD042-1SCF691WE-1200,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",42,up to 42,0.6,0.6-1.2,600-1200mA,20,20-50V,UL,IP65,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,cable,3.971,10000,  9.22 ,5000,  9.31 ,2000,  9.50 ,1000,  9.98 ,500,  10.45 ,  28.50 ,  13.59 ,  12.54 ,  25.08 ,  16.30 ,  15.05 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",50 Watts Digital Programming Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD050-1SCF692WA/C-1400,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",50,up to 50,0.7,0.7-1.4,700-1400mA,20,20-50V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,wire,4.265,10000,  7.66 ,5000,  7.74 ,2000,  7.90 ,1000,  8.30 ,500,  8.69 ,  23.70 ,  11.30 ,  10.43 ,  20.86 ,  13.56 ,  12.51 ,Plastic,108*45*29.5,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",50 Watts Digital Programing Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD050-1SCF692WB/D-1400,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",50,up to 50,0.7,0.7-1.4,700-1400mA,20,20-50V,UL class 2,IP20,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,wire,4.265,10000,  8.54 ,5000,  8.62 ,2000,  8.80 ,1000,  9.24 ,500,  9.68 ,  26.40 ,  12.58 ,  11.62 ,  23.23 ,  15.10 ,  13.94 ,Steel,136*46*31,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",50 Watts Digital Programming Series,"Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>20-50Vout<br>108-305Vac<br>UL, UL class 2",1,PLD050-1SCF692WE-1400,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",50,up to 50,0.7,0.7-1.4,700-1400mA,20,20-50V,UL,IP65,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,cable,4.265,10000,  9.99 ,5000,  10.09 ,2000,  10.30 ,1000,  10.82 ,500,  11.33 ,  30.90 ,  14.73 ,  13.60 ,  27.19 ,  17.67 ,  16.32 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
Indoor/Outdoor,Low Power,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",60 Watts Digital Programing Series,Multi Dimming Function (Deep Resolution)<br>Indoor Applications<br>30-70Vout<br>108-305Vac<br>UL,1,PLD060-1SCF692WE-800,Indoor CC smart driver，Programable,"0(0.1)-10V,PWM,Resistor, Clock",60,up to 60,0.4,0.4-0.8,400-800mA,30,30-70V,UL ,IP65,https://greenwattpower.com/wp-content/uploads/2020/01/05-All-in-one-30-60.pdf,cable,4.706,10000,  10.19 ,5000,  10.29 ,2000,  10.50 ,1000,  11.03 ,500,  11.55 ,  31.50 ,  15.02 ,  13.86 ,  27.72 ,  18.02 ,  16.63 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle 2020” Series",42 Watts Flicker Free Digital Programing Series,"Wired Multi Dimming Function<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL, UL class 2",1,PLD042-1SCF793-1250,"Indoor Constant Current,flicker-free,wired programmable， optional 12V auxiliary power, complying with UL2019 second edition","0(0.5)-10V,PWM,Resistor",42,42,0.6,0.6-1.25,600-1250mA,27,27-45V,"UL,UL class 2",IP20,https://greenwattpower.com/wp-content/uploads/2020/01/06-Pickle-2020-42-50.pdf,wire,  5.33 ,10000,  7.76 ,5000,  7.84 ,2000,  8.00 ,1000,  8.40 ,500,  8.80 ,  24.00 ,  11.44 ,  10.56 ,  21.12 ,  13.73 ,  12.67 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle 2020” Series",50 Watts Flicker Free Digital Programing Series,"Wired Multi Dimming Function<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL, UL class 2",1,PLD050-1SCF793-1400,"Indoor Constant Current,flicker-free,wired programmable， optional 12V auxiliary power, complying with UL2019 second edition","0(0.5)-10V,PWM,Resistor",50,50,0.7,0.7-1.4,700-1400mA,27,27-45V,"UL,UL class 2",IP65,https://greenwattpower.com/wp-content/uploads/2020/01/06-Pickle-2020-42-50.pdf,wire,  6.00 ,10000,  8.73 ,5000,  8.82 ,2000,  9.00 ,1000,  9.45 ,500,  9.90 ,  27.00 ,  12.87 ,  11.88 ,  23.76 ,  15.44 ,  14.26 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Blue” Wireless Series",42 Watts Flicker Free Digital Programing Series,Wireless Bluetooth Dimming<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL Class P(Q1 2020),1,PLD042-1SCF892PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable ,  MESH BLT SIG5.0",wireless dimming,42,42,600,600-1050,600-1050A,27,27-45V,UL Class P(Q1 2020),IP20,https://greenwattpower.com/wp-content/uploads/2020/01/07-Pickle-Blue-42-50.pdf,wire,  5.27 ,10000,  7.66 ,5000,  7.74 ,2000,  7.90 ,1000,  8.30 ,500,  8.69 ,  23.70 ,  11.30 ,  10.43 ,  20.86 ,  13.56 ,  12.51 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
