Type,Category,Series,Model Name,Description,Dimming,output power (sorting),output Power (W),Output Current,Output Current (A),Output Voltage (V),safety,water proof level,Datasheet,Terminal,BOM Cost$,MOQ 10K Pcs,"EXWorks$ 
MOQ 10k",MOQ 5k Pcs,EXWorks$ MOQ 5k,MOQ 2k Pcs,EXWorks$ MOQ 2k,MOQ 1k Pcs,EXWorks$ MOQ 1k,MOQ 500 Pcs,EXWorks$ MOQ 500,Sample Price 1-10 pcs,EXWorks Price for Order 100-299pcs,EXWorks Price for Order 300-499pcs,Sample Price 1-10 pcs,DAP Price for Order 100-299pcs,DAP Price for Order 300-499pcs,case material,dimension(mm),Status,Responsible,Product Line,Programmable Responsible,Carton Size(mm),Net Weight(kg),Gross Weight(kg),Units/ Carton,"Pallet Size
(mm)",Pallet Weight(kg),Cartons/Pallet,Total Weight/ pallet,Custom Order,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75W Super Slim Series",PLD075-1TCF3A-2000,"Indoor CC smart driver，Programable, connector",0-10V,75,75,700-2000mA,0.7-2,27-54,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/03-Super-Slim.pdf,Connector,5.29,10000, 10.67 ,5000, 10.78 ,2000, 11.00 ,1000, 11.55 ,500, 12.10 , 33.00 , 15.73 , 14.52 , 29.04 , 18.88 , 17.42 ,Metal,428*31*26,1452PCS stocks,juanzhang@fsp-powerland.com,ALP,,,,,,,,,,11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD075-1TAF2A-40,Indoor Constant Current,0-10V,75,75,1.8A,1.8,20-40,UL class 2,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,5.29,10000, 8.58 ,5000, 8.67 ,2000, 8.85 ,1000, 9.29 ,500, 9.74 , 26.55 , 12.66 , 11.68 , 23.36 , 15.19 , 14.02 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,13,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD080-1TAF2A-24,Indoor Constant Current,0-10V,80,80,3.33A,3.33,'12-24,UL class 2,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,6.18,10000, 9.07 ,5000, 9.16 ,2000, 9.35 ,1000, 9.82 ,500, 10.29 , 28.05 , 13.37 , 12.34 , 24.68 , 16.04 , 14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,14,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD080-1TAF2A-40,Indoor Constant Current,0-10V,80,80,2.0A,2,20-40,UL class 2,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,6.18,10000, 9.07 ,5000, 9.16 ,2000, 9.35 ,1000, 9.82 ,500, 10.29 , 28.05 , 13.37 , 12.34 , 24.68 , 16.04 , 14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,15,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD080-1TAF2A-57,Indoor Constant Current,0-10V,80,80,1.4A,1.4,28-57,UL,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,6.18,10000, 9.07 ,5000, 9.16 ,2000, 9.35 ,1000, 9.82 ,500, 10.29 , 28.05 , 13.37 , 12.34 , 24.68 , 16.04 , 14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,16,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD080-1TAF2A-76,Indoor Constant Current,0-10V,80,80,1.05A,1.05,38-76,UL ,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,6.18,10000, 9.07 ,5000, 9.16 ,2000, 9.35 ,1000, 9.82 ,500, 10.29 , 28.05 , 13.37 , 12.34 , 24.68 , 16.04 , 14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,17,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD080-1TAF2A-114,Indoor Constant Current,0-10V,80,80,0.7A,0.7,57-114,UL ,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,6.18,10000, 9.07 ,5000, 9.16 ,2000, 9.35 ,1000, 9.82 ,500, 10.29 , 28.05 , 13.37 , 12.34 , 24.68 , 16.04 , 14.81 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,18,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD096-1TAF2A-24,Indoor Constant Current,0-10V,96,96,4A,4,12-24,UL class 2,IP54,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,7.35,10000, 10.04 ,5000, 10.14 ,2000, 10.35 ,1000, 10.87 ,500, 11.39 , 31.05 , 14.80 , 13.66 , 27.32 , 17.76 , 16.39 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,19,,
Indoor,LED Drivers > Low Power LED Drivers,"0-10V Dimming Constant Current LED Drivers
75~96W Series",PLD096-1TAF2A-40,Indoor Constant Current,0-10V,96,96,2.4A,2.4,20-40,UL class 2,IP64,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/04-10V-Dimming-75-96.pdf,wire,7.35,10000, 10.04 ,5000, 10.14 ,2000, 10.35 ,1000, 10.87 ,500, 11.39 , 31.05 , 14.80 , 13.66 , 27.32 , 17.76 , 16.39 ,Metal,213.5*43*30,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD030-1SCF691WA/C-700,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",30,up to 30,0.350-0.700mA,0.350-0.7,20-50,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,wire,3.53,10000, 6.69 ,5000, 6.76 ,2000, 6.90 ,1000, 7.25 ,500, 7.59 , 20.70 , 9.87 , 9.11 , 18.22 , 11.84 , 10.93 ,Plastic,108*45*29.5,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,22,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD030-1SCF691WB/D-700,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",30,up to 30,0.350-0.700mA,0.350-0.7,20-50,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,wire,3.53,10000, 7.57 ,5000, 7.64 ,2000, 7.80 ,1000, 8.19 ,500, 8.58 , 23.40 , 11.15 , 10.30 , 20.59 , 13.38 , 12.36 ,Steel,136*46*31,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,23,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD030-1SCF691WE-700,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",30,up to 30,0.350-0.700mA,0.350-0.7,20-50,UL,IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,cable,3.53,10000, 8.92 ,5000, 9.02 ,2000, 9.20 ,1000, 9.66 ,500, 10.12 , 27.60 , 13.16 , 12.14 , 24.29 , 15.79 , 14.57 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,24,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD042-1SCF691WA/C-1200,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",42,up to 42,0.600-1.2A,0.6-1.2,20-50,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,wire,3.97,10000, 6.79 ,5000, 6.86 ,2000, 7.00 ,1000, 7.35 ,500, 7.70 , 21.00 , 10.01 , 9.24 , 18.48 , 12.01 , 11.09 ,Plastic,108*45*29.5,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,25,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD042-1SCF691WB/D-1200,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",42,up to 42,0.600-1.2A,0.6-1.2,20-50,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,wire,3.971,10000, 7.76 ,5000, 7.84 ,2000, 8.00 ,1000, 8.40 ,500, 8.80 , 24.00 , 11.44 , 10.56 , 21.12 , 13.73 , 12.67 ,Steel,136*46*31,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,26,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD042-1SCF691WE-1200,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",42,up to 42,0.600-1.2A,0.6-1.2,20-50,UL,IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,cable,3.971,10000, 9.22 ,5000, 9.31 ,2000, 9.50 ,1000, 9.98 ,500, 10.45 , 28.50 , 13.59 , 12.54 , 25.08 , 16.30 , 15.05 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,27,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD050-1SCF692WA/C-1400,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",50,up to 50,0.700-1.4A,0.7-1.4,20-50,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,wire,4.265,10000, 7.66 ,5000, 7.74 ,2000, 7.90 ,1000, 8.30 ,500, 8.69 , 23.70 , 11.30 , 10.43 , 20.86 , 13.56 , 12.51 ,Plastic,108*45*29.5,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,28,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD050-1SCF692WB/D-1400,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",50,up to 50,0.700-1.4A,0.7-1.4,20-50,UL class 2,IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,wire,4.265,10000, 8.54 ,5000, 8.62 ,2000, 8.80 ,1000, 9.24 ,500, 9.68 , 26.40 , 12.58 , 11.62 , 23.23 , 15.10 , 13.94 ,Steel,136*46*31,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,29,,
Indoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD050-1SCF692WE-1400,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",50,up to 50,0.700-1.4A,0.7-1.4,20-50,UL,IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,cable,4.265,10000, 9.99 ,5000, 10.09 ,2000, 10.30 ,1000, 10.82 ,500, 11.33 , 30.90 , 14.73 , 13.60 , 27.19 , 17.67 , 16.32 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,30,,
Indoor/Outdoor,LED Drivers > Low Power LED Drivers,"All-in-One Dimming Constant Current LED Drivers
30~60W Programmable Series",PLD060-1SCF692WE-800,Indoor CC smart driver，Programable,"0(0.1)-10V, PWM, external resistor, Clock",60,up to 60,0.400-0.800mA,0.4-0.8,30-70,UL ,IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/05-All-in-one-30-60.pdf,cable,4.706,10000, 10.19 ,5000, 10.29 ,2000, 10.50 ,1000, 11.03 ,500, 11.55 , 31.50 , 15.02 , 13.86 , 27.72 , 18.02 , 16.63 ,Aluminum ,118*48*32,Mass Production,xiaochencao@fsp-powerland.com,ALP,,,,,,,,,,31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle 2020” Series",PLD042-1SCF793-1250,"Indoor Constant Current,flicker-free,wired programmable， optional 12V auxiliary power, complying with UL2019 second edition","0(0.5)-10V, PWM, External Resistor",42,42,0.600-1.25A,0.6-1.25,27-45,"UL,UL class 2",IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/06-Pickle-2020-42-50.pdf,wire, 5.33 ,10000, 7.76 ,5000, 7.84 ,2000, 8.00 ,1000, 8.40 ,500, 8.80 , 24.00 , 11.44 , 10.56 , 21.12 , 13.73 , 12.67 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,33,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle 2020” Series",PLD050-1SCF793-1400,"Indoor Constant Current,flicker-free,wired programmable， optional 12V auxiliary power, complying with UL2019 second edition","0(0.5)-10V, PWM, External Resistor",50,50,0.7-1.4A,0.7-1.4,27-45,"UL,UL class 2",IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/06-Pickle-2020-42-50.pdf,wire, 6.00 ,10000, 8.73 ,5000, 8.82 ,2000, 9.00 ,1000, 9.45 ,500, 9.90 , 27.00 , 12.87 , 11.88 , 23.76 , 15.44 , 14.26 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Blue” Wireless Series",PLD042-1SCF892PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable ,  MESH BLT SIG5.0",wireless dimming,42,42,600-1050A,600-1050,27-45,UL Class P(Q1 2020),IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/07-Pickle-Blue-42-50.pdf,wire, 5.27 ,10000, 7.66 ,5000, 7.74 ,2000, 7.90 ,1000, 8.30 ,500, 8.69 , 23.70 , 11.30 , 10.43 , 20.86 , 13.56 , 12.51 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,36,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Blue” Wireless Series",PLD050-1SCF892PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0",wireless dimming,50,50,700-1250A,700-1250,27-45,UL Class P(Q1 2020),IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/07-Pickle-Blue-42-50.pdf,wire, 5.93 ,10000, 8.63 ,5000, 8.72 ,2000, 8.90 ,1000, 9.35 ,500, 9.79 , 26.70 , 12.73 , 11.75 , 23.50 , 15.27 , 14.10 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Plus” Series",PLD042-1SCF992PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","isolated 0-10V,PWM ,External resistor,Wireless Dimming",42,42,600-1250A,600-1250,27-45,UL Class P    (Q1 2020),IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/08-Pickle-Plus-42-50.pdf,wire, 5.87 ,10000, 8.54 ,5000, 8.62 ,2000, 8.80 ,1000, 9.24 ,500, 9.68 , 26.40 , 12.58 , 11.62 , 23.23 , 15.10 , 13.94 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,39,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Plus” Series",PLD050-1SCF992PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","isolated 0-10V,PWM ,External resistor,Wireless Dimming",50,50,700-1400A,700-1400,27-45,UL Class P      (Q1 2020),IP65,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/08-Pickle-Plus-42-50.pdf,wire, 6.53 ,10000, 9.51 ,5000, 9.60 ,2000, 9.80 ,1000, 10.29 ,500, 10.78 , 29.40 , 14.01 , 12.94 , 25.87 , 16.82 , 15.52 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Dual-channel Constant Current LED Drivers
Flicker-Free “Pickle-Mate” Series",PLD042-2SCF992-1250A,"Indoor Constant Current,Complimentary dual outputs,flicker-free,wireless programmable,wireless color temperature programming and adjusting,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","isolated 0-10V,PWM ,External resistor,Wireless Dimming",42,42,"0~1.25A
+
1.25~0A","0~1.25
+
1.25~0",27~45,UL class P(Q1 2020),IP20,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/09-Pickle-Mate-42-50.pdf,wire, 8.60 ,10000, 12.51 ,5000, 12.64 ,2000, 12.90 ,1000, 13.55 ,500, 14.19 , 38.70 , 18.45 , 17.03 , 34.06 , 22.14 , 20.43 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,42,,
Indoor,LED Drivers > Low Power LED Drivers,"42/50W Programmable Dual-channel Constant Current LED Drivers
Flicker-Free “Pickle-Mate” Series",PLD050-2SCF992-1400A,"Indoor Constant Current,Complimentary dual outputs,flicker-free,wireless programmable,wireless color temperature programming and adjusting,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","isolated 0-10V,PWM ,External resistor,Wireless Dimming",50,50,"0~1.4A
+
1.4~0A","0~1.4
+
1.4~0",27~45,UL Class P(Q1 2020),IP65 ,http://g2p.7eb.myftpupload.com/wp-content/uploads/2019/12/09-Pickle-Mate-42-50.pdf,wire, 9.27 ,10000, 13.48 ,5000, 13.62 ,2000, 13.90 ,1000, 14.60 ,500, 15.29 , 41.70 , 19.88 , 18.35 , 36.70 , 23.85 , 22.02 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,,43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,
